title,price,rating,colors,size,gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-12-20T21:21:18.555231
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-12-20T21:21:18.555322
Pants 4,7476960.0,3.3,3,XL,Men,2025-12-20T21:21:18.555426
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-12-20T21:21:18.555507
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-12-20T21:21:18.555589
Crewneck 7,6892000.0,4.3,3,M,Men,2025-12-20T21:21:18.555668
T-shirt 8,7802560.0,3.1,3,L,Women,2025-12-20T21:21:18.555751
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-12-20T21:21:18.555840
Pants 10,3100160.0,4.2,3,XXL,Men,2025-12-20T21:21:18.555930
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-12-20T21:21:18.556093
Crewneck 13,5447200.0,3.2,3,L,Men,2025-12-20T21:21:18.556174
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-12-20T21:21:18.556262
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-12-20T21:21:18.556342
Outerwear 17,841600.0,3.8,3,M,Women,2025-12-20T21:21:18.556507
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-12-20T21:21:18.556584
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-12-20T21:21:18.556656
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-12-20T21:21:18.556726
Pants 22,4319680.0,4.9,3,M,Men,2025-12-20T21:21:19.183204
Outerwear 23,4655840.0,3.7,3,L,Women,2025-12-20T21:21:19.183284
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-12-20T21:21:19.183363
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-12-20T21:21:19.183448
T-shirt 26,7292320.0,4.6,3,S,Women,2025-12-20T21:21:19.183528
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-12-20T21:21:19.183605
Pants 28,5216160.0,4.0,3,L,Men,2025-12-20T21:21:19.183683
Outerwear 29,861600.0,3.1,3,XL,Women,2025-12-20T21:21:19.183762
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-12-20T21:21:19.183840
T-shirt 32,6657920.0,3.4,3,M,Women,2025-12-20T21:21:19.184002
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-12-20T21:21:19.184081
Pants 34,8362719.999999999,3.8,3,XL,Men,2025-12-20T21:21:19.184160
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-12-20T21:21:19.184240
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-12-20T21:21:19.184318
Crewneck 37,6006080.0,4.0,3,M,Men,2025-12-20T21:21:19.184399
T-shirt 38,4866080.0,3.2,3,L,Women,2025-12-20T21:21:19.184476
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-12-20T21:21:19.184554
Pants 40,5853600.0,3.1,3,XXL,Men,2025-12-20T21:21:19.184634
Jacket 42,6744160.0,3.7,3,M,Unisex,2025-12-20T21:21:19.302358
Crewneck 43,2909600.0,4.5,3,L,Men,2025-12-20T21:21:19.302409
T-shirt 44,3312320.0,3.0,3,XL,Women,2025-12-20T21:21:19.302458
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2025-12-20T21:21:19.302506
Outerwear 47,6364640.0,3.2,3,M,Women,2025-12-20T21:21:19.302606
Jacket 48,4994720.0,3.4,3,L,Unisex,2025-12-20T21:21:19.302655
Crewneck 49,1071200.0,4.0,3,XL,Men,2025-12-20T21:21:19.302702
T-shirt 50,5932960.0,3.1,3,XXL,Women,2025-12-20T21:21:19.302750
Pants 52,1596480.0,4.0,3,M,Men,2025-12-20T21:21:19.302847
Outerwear 53,4470880.0,4.3,3,L,Women,2025-12-20T21:21:19.302894
Jacket 54,854560.0,4.2,3,XL,Unisex,2025-12-20T21:21:19.302944
Crewneck 55,1793760.0,3.6,3,XXL,Men,2025-12-20T21:21:19.302991
T-shirt 56,4643040.0,3.8,3,S,Women,2025-12-20T21:21:19.303039
Hoodie 57,3155360.0,4.9,3,M,Unisex,2025-12-20T21:21:19.303086
Pants 58,1637760.0,4.4,3,L,Men,2025-12-20T21:21:19.303133
Outerwear 59,2254240.0,4.6,3,XL,Women,2025-12-20T21:21:19.303181
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2025-12-20T21:21:19.303228
T-shirt 62,1376480.0,3.8,3,M,Women,2025-12-20T21:21:19.477953
Hoodie 63,6479200.0,3.6,3,L,Unisex,2025-12-20T21:21:19.478034
Pants 64,7728480.0,4.0,3,XL,Men,2025-12-20T21:21:19.478114
Outerwear 65,2385920.0,4.1,3,XXL,Women,2025-12-20T21:21:19.478198
Jacket 66,4353120.0,3.5,3,S,Unisex,2025-12-20T21:21:19.478283
Crewneck 67,8470720.0,3.5,3,M,Men,2025-12-20T21:21:19.478361
T-shirt 68,8025280.0,4.0,3,L,Women,2025-12-20T21:21:19.478439
Hoodie 69,1027839.9999999999,3.6,3,XL,Unisex,2025-12-20T21:21:19.478518
Pants 70,1171360.0,4.4,3,XXL,Men,2025-12-20T21:21:19.478595
Jacket 72,3776000.0,4.4,3,M,Unisex,2025-12-20T21:21:19.478758
Crewneck 73,2460320.0,3.0,3,L,Men,2025-12-20T21:21:19.478835
T-shirt 74,7704800.0,3.8,3,XL,Women,2025-12-20T21:21:19.478921
Hoodie 75,2101760.0,4.3,3,XXL,Unisex,2025-12-20T21:21:19.478997
Outerwear 77,861760.0,3.7,3,M,Women,2025-12-20T21:21:19.479143
Jacket 78,2716480.0,4.3,3,L,Unisex,2025-12-20T21:21:19.479218
Crewneck 79,3309600.0,4.6,3,XL,Men,2025-12-20T21:21:19.479288
T-shirt 80,4178399.9999999995,4.5,3,XXL,Women,2025-12-20T21:21:19.479362
Pants 82,8315520.0,4.8,3,M,Men,2025-12-20T21:21:19.640890
Outerwear 83,3947840.0,3.7,3,L,Women,2025-12-20T21:21:19.640983
Jacket 84,2826080.0,4.8,3,XL,Unisex,2025-12-20T21:21:19.641071
Crewneck 85,4564160.0,3.5,3,XXL,Men,2025-12-20T21:21:19.641157
T-shirt 86,1670880.0,3.9,3,S,Women,2025-12-20T21:21:19.641242
Hoodie 87,7870240.0,4.3,3,M,Unisex,2025-12-20T21:21:19.641325
Pants 88,7590400.0,3.1,3,L,Men,2025-12-20T21:21:19.641410
Outerwear 89,4856320.0,3.0,3,XL,Women,2025-12-20T21:21:19.641501
Jacket 90,7160000.0,4.0,3,XXL,Unisex,2025-12-20T21:21:19.641592
T-shirt 92,5012320.0,3.5,3,M,Women,2025-12-20T21:21:19.641776
